boat_items
;
model,category,description;
FY550,DECK PRINCIPAL,Acesso a plataforma de popa por degraus de fibra de vidro;
FY550,DECK PRINCIPAL,Acesso a praça de máquinas por escotilha e escada de aço inox e degraus de teca;
FY550,DECK PRINCIPAL,Acesso ao flybridge por escada de aço inox e degraus de teca com corrimão em aço inox;
"FY550,DECK PRINCIPAL,""Acesso a cabine do marinheiro por escada de aço inox e degraus de teca, com sanitário manual, ar condicionado, pia, espelho, cama, armário, escada de acesso, vigia, escotilha de acesso técnico para a popa""";
FY550,DECK PRINCIPAL,Porta de correr de vidro com armação de aço inox;
FY550,DECK PRINCIPAL,Local de armazenamento na popa com cobertura;
FY550,DECK PRINCIPAL,Living Área de proa com 2 sofás;
FY550,DECK PRINCIPAL,Púlpito de proa com guarda-corpo lateral e porta;
"FY550,DECK PRINCIPAL,""Bow thruster (8,7 Hp) alta eficiência""";
"FY550,DECK PRINCIPAL,""Ancora estilo Bruce (20 kg, 75 metros de corrente de 8 mm)""";
FY550,DECK PRINCIPAL,Armário na praça de popa;
FY550,DECK PRINCIPAL,Iluminação na praça de popa;
FY550,DECK PRINCIPAL,Sofá na praça de popa;
FY550,DECK PRINCIPAL,Mesa em teca natural na praça de popa;
FY550,DECK PRINCIPAL,Defensas cilíndricas (6) e Defensas esféricas (2);
"FY550,DECK PRINCIPAL,""Guincho de âncora elétrico (1500 W com controle na proa, no comando principal e no do flybridge)""";
FY550,DECK PRINCIPAL,Capa para defensas com logo da Ferretti;
FY550,DECK PRINCIPAL,Deck de fibra de vidro com anti-derrapante;
FY550,DECK PRINCIPAL,Chuveiro de mão com água doce quente e fria na plataforma de popa;
FY550,DECK PRINCIPAL,Vigias para tripulação na proa;
FY550,DECK PRINCIPAL,Porta-cabos na proa;
"FY550,DECK PRINCIPAL,""Cabos de amarração (12,4 m)""";
FY550,DECK PRINCIPAL,Posto de amarração (2) com armário para os cabos;
FY550,DECK PRINCIPAL,Trilho para capa de cobertura;
FY550,DECK PRINCIPAL,Tela de proteção para para-brisa e janelas laterais da casaria;
FY550,DECK PRINCIPAL,Puxadores na casa de máquinas para desligamento de motores e ativação do sistema de extinção de incêndio;
FY550,DECK PRINCIPAL,Mangueira de incêndio e lavagem da ancora de proa;
FY550,DECK PRINCIPAL,Escada de aço inox para embarque pela água;
FY550,DECK PRINCIPAL,Acessórios em aço inox;
"FY550,DECK PRINCIPAL,""Cunhos de amarração em aço inox: (2) na popa, (2) meia nau sendo um em cada bordo e (2) na proa""";
FY550,DECK PRINCIPAL,Passa-cabos na proa e popa;
FY550,DECK PRINCIPAL,Armário a bombordo;
FY550,DECK PRINCIPAL,Armário no sofá de popa;
FY550,DECK PRINCIPAL,Solário na proa com almofadas SALÃO;
FY550,SALÃO,Porta de correr em vidro temperado com armação em aço inox;
FY550,SALÃO,Cortinas na porta de correr;
FY550,SALÃO,Armário com prateleiras;
"FY550,SALÃO,""Área de jantar a boreste (sofás e mesa de jantar, laqueada e extensível""";
FY550,SALÃO,Carpete;
FY550,SALÃO,Sistema de som Fusion std;
FY550,SALÃO,Persianas romanas em tecido;
FY550,SALÃO,Sofá a bombordo comparte frontal reversível em banco de piloto com mecanismo elétrico de subida e descida;
"FY550,SALÃO,""TV LED 24"" GALLEY""";
FY550,GALLEY,Armário com prateleira e gavetas;
FY550,GALLEY,Cooktop cerâmico 4 bocas;
"FY550,GALLEY,""Conjunto de louças, copos e talheres para 6 pessoas""";
FY550,GALLEY,Cortina em tecido na janela de popa;
FY550,GALLEY,Coifa 110V sobre o Cooktop;
FY550,GALLEY,Carpete;
FY550,GALLEY,Geladeira 130 l e freezer 90 l;
FY550,GALLEY,Microondas com Grill;
FY550,GALLEY,Armários de cozinha;
FY550,GALLEY,Bancada da pia em quartzo ou resina;
FY550,GALLEY,Pia COMANDO PRINCIPAL;
FY550,COMANDO PRINCIPAL,Controle do Piloto automático;
"FY550,COMANDO PRINCIPAL,""Barômetro, relógio e higro-termômetro""";
FY550,COMANDO PRINCIPAL,Acendedor de cigarro 12v;
FY550,COMANDO PRINCIPAL,Direção eletro-hidráulica;
